DateTime,PropMode,Distance
03/01/2014 20:06,MS,764.7
03/01/2014 21:25,MS,678.5
03/01/2014 21:25,MS,890.2
12/01/2014 09:27,Tropo,185.3
12/01/2014 10:45,Tropo,271.6
19/01/2014 17:29,MS,569.8
19/01/2014 17:29,MS,639.5
19/01/2014 17:29,MS,675.1
20/01/2014 11:17,MS,487.3
21/01/2014 14:28,MS,1300.5
25/01/2014 12:53,Tropo,304.8
25/01/2014 12:59,Tropo,269.6
25/01/2014 18:42,MS,569.8
25/01/2014 18:42,MS,639.5
25/01/2014 18:42,MS,675.1
28/01/2014 15:20,MS,890.2
28/01/2014 17:15,MS,870
05/03/2014 22:02,Tropo,180.1
10/03/2014 21:10,Tropo,304.8
11/03/2014 20:45,Tropo,304.8
12/03/2014 17:52,Tropo,271.6
12/03/2014 18:07,Tropo,261.5
12/03/2014 18:25,Tropo,277.2
12/03/2014 18:56,Tropo,160.9
12/03/2014 19:11,Tropo,180.1
12/03/2014 19:14,Tropo,84.8
12/03/2014 20:08,Tropo,135.5
12/03/2014 20:11,Tropo,146.6
12/03/2014 20:18,Tropo,130.2
13/03/2014 12:39,Tropo,283.7
13/03/2014 12:50,Tropo,271.6
13/03/2014 16:54,Tropo,271.1
13/03/2014 16:56,Tropo,94.9
13/03/2014 17:41,Tropo,271.6
13/03/2014 20:21,Tropo,100.1
13/03/2014 20:40,Tropo,83.4
13/03/2014 20:47,Tropo,135.1
14/03/2014 21:01,Tropo,304.8
15/03/2014 17:42,Tropo,180.1
15/03/2014 17:48,Tropo,108.7
15/03/2014 21:14,Tropo,226.9
15/03/2014 21:16,Tropo,304.8
15/03/2014 22:34,Tropo,269.6
15/03/2014 22:35,Tropo,301.4
15/03/2014 22:41,Tropo,420.7
15/03/2014 22:54,Tropo,271.6
16/03/2014 08:39,Tropo,271.6
19/03/2014 20:30,Tropo,269.6
19/03/2014 20:54,Tropo,271.6
16/04/2014 07:15,Tropo,304.8
16/04/2014 07:43,Tropo,118.1
16/04/2014 09:44,Tropo,269.6
16/04/2014 09:44,Tropo,271.6
16/04/2014 10:51,Tropo,301.4
20/04/2014 19:36,MS,1244.6
22/04/2014 09:11,MS,870
22/04/2014 11:19,MS,875.7
26/04/2014 08:55,Es,1072.8
26/04/2014 08:55,Es,1122
26/04/2014 09:05,Es,1383.7
26/04/2014 09:11,Es,977.8
12/05/2014 21:20,MS,325.6
14/05/2014 17:40,Es,1076.3
14/05/2014 18:04,Es,1300.5
14/05/2014 18:14,Es,1168.3
16/05/2014 14:15,Es,946.9
16/05/2014 14:16,Es,1088.4
16/05/2014 14:22,Es,1149.9
16/05/2014 14:28,Es,1028
16/05/2014 14:29,Es,1376.9
16/05/2014 14:32,Es,916.1
16/05/2014 14:34,Es,1252.1
19/05/2014 17:47,Es,1168.3
19/05/2014 17:54,Es,1168.3
19/05/2014 17:57,Es,1168.3
19/05/2014 18:00,Es,1300.5
19/05/2014 18:03,Es,1300.5
19/05/2014 18:14,Es,1140.9
19/05/2014 18:14,Es,1140.9
19/05/2014 18:14,Es,1140.9
19/05/2014 18:15,Es,1153.4
19/05/2014 18:19,Es,1036.4
19/05/2014 18:19,Es,1036.5
19/05/2014 18:22,Es,1314.4
19/05/2014 18:23,Es,1333.7
19/05/2014 19:22,Es,951.8
21/05/2014 09:46,Es,1300.5
21/05/2014 09:46,Es,1322.9
21/05/2014 09:48,Es,994.4
21/05/2014 09:48,Es,1300.5
22/05/2014 15:55,Es,1300.5
22/05/2014 15:56,Es,1300.5
22/05/2014 15:58,Es,1266.5
22/05/2014 16:00,Es,1266.5
22/05/2014 16:01,Es,1304.5
22/05/2014 16:02,Es,1160.8
22/05/2014 16:02,Es,1266.5
22/05/2014 16:04,Es,1160.8
22/05/2014 16:20,Es,1351.1
22/05/2014 16:22,Es,1122
22/05/2014 16:27,Es,1351.1
22/05/2014 16:48,Es,967.2
22/05/2014 16:52,Es,1044.2
22/05/2014 16:58,Es,715.4
22/05/2014 17:04,Es,1166.8
22/05/2014 17:05,Es,759.7
22/05/2014 17:05,Es,1313
22/05/2014 17:06,Es,1024.6
22/05/2014 17:08,Es,878.3
22/05/2014 17:09,Es,771.9
22/05/2014 17:09,Es,1104.1
22/05/2014 17:12,Es,1090.8
22/05/2014 17:13,Es,977.8
22/05/2014 17:14,Es,1069.3
22/05/2014 17:15,Es,1072.8
22/05/2014 17:15,Es,1312.9
22/05/2014 17:31,Es,754.5
22/05/2014 17:32,Es,893.3
22/05/2014 17:32,Es,902.5
22/05/2014 18:06,Es,1132.7
22/05/2014 18:23,Es,1232.8
22/05/2014 18:26,Es,1300.6
22/05/2014 18:30,Es,1075.8
